id,manufacturer_upper_length_1,type_no_space_length_6,description_main_no_space_upper_length_1,color_upper_length_1,color_upper_length_2,size_length_1,description_main_no_space_length_6,description_main_length_1,description_main_no_space_upper_length_4,manufacturer_no_space_length_2,part_number_no_space_length_1,type_no_space_upper_length_1,description_main_no_space_length_5,upc_number,description_main_upper_length_2,bip_39_word_underscore_2,size_upper_length_5,color_no_space_length_6,size_no_space_upper_length_1,type_no_space_length_2,bip_39_word_underscore_12,size_first_letter,size_no_space_upper_length_2,part_number_length_6,cost_per,part_number_length_2,part_number_no_space_upper_length_4,bip_39_word_new_br_12,size_capital,bip_39_word_dash_2,size_length_5,type_no_space_length_5,bip_39_word_new_line_12,size_no_space_upper_length_5,type_upper_length_3,bip_39_word_new_br_3,manufacturer_no_space_upper_length_2,oomlout_short_code,description_main_no_space_upper_length_6,classification_upper_length_6,description_main_first_letter_upper,type_no_space_upper_length_3,type_upper_length_2,manufacturer_no_space_length_4,color_length_6,directory,description_main_no_space_upper_length_3,type_first_letter,size_upper_length_6,manufacturer_no_space_upper_length_5,description_main_first_letter,description_main_capital,size_no_space_length_6,md5,classification_no_space_length_6,size_length_3,description_main,description_main_upper_length_1,manufacturer_length_4,size_name,part_number_length_1,kwargs,link_purchase,color_no_space_length_2,part_number_no_space_upper_length_6,type_no_space_length_1,classification_no_space_length_5,description_extra_first_letter,part_number_capital,type_length_1,type_name,weight,color_length_2,color_upper_length_6,description_main_no_space_length_3,description_only_numbers,description_extra,id_no_class,markdown_full,part_number_no_space_length_3,short_code_upper,part_number_no_space_length_5,type_upper_length_5,classification_no_space_upper_length_5,type_length_4,classification_upper_length_3,oomp_word,part_number_no_space_upper_length_2,size_length_6,part_number_no_space_length_2,color_length_1,color_no_space_length_5,manufacturer,classification_capital,classification_upper_length_4,classification_no_space_length_4,description_main_length_3,bip_39_word_new_line_2,classification_no_space_upper_length_6,description_or_color,manufacturer_length_2,description_main_upper,md5_5_upper,part_number_name,part_number_no_space_upper_length_3,type,description_extra_name,part_number_no_space_length_4,bip_39_word_no_space_3,oomp_word_emoji,part_number_upper_length_5,description_extra_first_letter_upper,type_length_2,type_no_space_length_3,part_number_upper_length_1,bip_39_word_dash_3,manufacturer_no_space_length_5,color_upper,manufacturer_name,type_no_space_upper_length_4,manufacturer_length_6,color_upper_length_5,description_main_upper_length_6,color_first_letter_upper,markdown_short,type_no_space_length_4,manufacturer_first_letter,classification_length_4,type_upper_length_1,size_upper_length_3,size_first_letter_upper,part_number_no_space_upper_length_1,color_capital,classification_first_letter_upper,part_number_upper,size_no_space_upper_length_3,description_main_name,name_no_type,type_no_space_upper_length_5,color_length_5,size_no_space_upper_length_6,short_name,manufacturer_length_5,classification_length_1,manufacturer_no_space_length_3,manufacturer_no_space_upper_length_4,description_main_upper_length_5,manufacturer_capital,description_only_numbers_short,short_code,type_first_letter_upper,color_no_space_length_4,color_upper_length_3,manufacturer_no_space_length_1,description_extra_upper,md5_5,description_extra_capital,manufacturer_no_space_length_6,name_no_class,id,bip_39_word_space_12,size_upper_length_1,manufacturer_upper_length_6,description_main_no_space_length_1,manufacturer_upper,md5_10_upper,md5_6_upper,type_no_space_upper_length_2,manufacturer_no_space_upper_length_1,color_no_space_upper_length_5,distributors,bip_39_word_no_space_12,color_name,bip_39_word_new_line_3,oomp_word_emoji_list,classification_no_space_upper_length_2,size_only_numbers_no_zeros,full_shift,id_oobb,type_length_5,color_length_4,description_main_length_5,oomp_key,type_length_3,size_no_space_length_4,size_length_4,color,type_upper_length_6,description_main_length_4,name_no_color,md5_6_alpha,description_main_no_space_length_2,part_number_upper_length_2,color_first_letter,description_main_upper_length_4,size_length_2,github_link,size_no_space_length_3,type_upper_length_4,color_no_space_upper_length_4,bip_39_word_underscore_3,manufacturer_length_3,id_no_size,description_main_upper_length_3,part_number_length_5,classification_length_2,description_main_length_2,part_number_upper_length_4,size,size_no_space_length_5,classification_no_space_length_3,bip_39_word_dash_12,description_or_color_upper,box_quantity,classification_no_space_length_2,md5_6,type_capital,id_no_type,size_no_space_upper_length_4,size_upper_length_2,classification_length_6,size_upper,classification_name,manufacturer_no_space_upper_length_3,part_number_length_4,full_rotations,id_no_color,classification_length_5,manufacturer_upper_length_5,classification_first_letter,oomp_word_list,name_no_size_short,part_number_upper_length_3,manufacturer_upper_length_4,md5_10,color_length_3,part_number_first_letter_upper,color_no_space_length_3,md5_6_alpha_upper,color_no_space_upper_length_1,color_no_space_upper_length_6,classification_no_space_length_1,classification,classification_no_space_upper_length_3,description_main_no_space_upper_length_2,classification_length_3,name_no_size,part_number_length_3,bip_39_word_new_br_2,oomlout_short_code_upper,description_main_no_space_upper_length_5,classification_upper_length_1,manufacturer_upper_length_2,part_number_no_space_upper_length_5,color_no_space_length_1,classification_no_space_upper_length_1,name,manufacturer_upper_length_3,part_number_first_letter,size_no_space_length_1,manufacturer_length_1,manufacturers,part_number,type_no_space_upper_length_6,bip_39_word_no_space_2,classification_no_space_upper_length_4,part_number_upper_length_6,description_main_length_6,type_length_6,color_upper_length_4,manufacturer_first_letter_upper,part_number_no_space_length_6,classification_upper,color_no_space_upper_length_2,manufacturer_no_space_upper_length_6,size_only_numbers,project_name,size_upper_length_4,type_upper,classification_upper_length_2,description_main_no_space_length_4,color_no_space_upper_length_3,bip_39_word_space_2,size_no_space_length_2,bip_39_word_space_3,classification_upper_length_5
packaging_takeaway_container_circle_670_ml_105_mm_diameter_100_mm_height_tamper_evident_systempak_254,S,takeaw,1,,,6,105mmd,1,105M,sy,2,T,105mm,,10,october_together,670_M,,6,ta,october_together_fringe_must_transfer_again_cash_around_village_civil_online_absent,6,67,254,£0.199,25,254,october<br>together<br>fringe<br>must<br>transfer<br>again<br>cash<br>around<br>village<br>civil<br>online<br>absent,670 Ml,october-together,670_m,takea,"october
together
fringe
must
transfer
again
cash
around
village
civil
online
absent",670ML,TAK,october<br>together<br>fringe,SY,tcc670,105MMD,PACKAG,1,TAK,TA,syst,,parts/packaging_takeaway_container_circle_670_ml_105_mm_diameter_100_mm_height_tamper_evident_systempak_254,105,t,670_ML,SYSTE,1,105 mm Diameter 100 mm Height Tamper Evident,670ml,0b35ca67a00c246812f39920ba38ecc8,packag,670,105_mm_diameter_100_mm_height_tamper_evident,1,syst,670 Ml,2,,['https://systempak.net/product/670ml-round-105mm-diameter-tamper-evident-containers-and-lids/'],,254,t,packa,,254,t,Takeaway Container Circle,35 g,,,105,105100,,takeaway_container_circle_670_ml_105_mm_diameter_100_mm_height_tamper_evident_systempak_254,[packaging_takeaway_container_circle_670_ml_105_mm_diameter_100_mm_height_tamper_evident_systempak_254](https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/packaging_takeaway_container_circle_670_ml_105_mm_diameter_100_mm_height_tamper_evident_systempak_254/working)<br>[](https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/packaging_takeaway_container_circle_670_ml_105_mm_diameter_100_mm_height_tamper_evident_systempak_254/working)<br>[Packaging Takeaway Container Circle 670 Ml 105 Mm Diameter 100 Mm Height Tamper Evident Systempak 254](https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/packaging_takeaway_container_circle_670_ml_105_mm_diameter_100_mm_height_tamper_evident_systempak_254/working)<br><br>,254,,254,TAKEA,PACKA,take,PAC,sunglasses hamster cherries,25,670_ml,25,,,systempak,Packaging,PACK,pack,105,"october
together",PACKAG,105k,sy,105_MM_DIAMETER_100_MM_HEIGHT_TAMPER_EVIDENT,0B35C,254,254,takeaway_container_circle,,254,octobertogetherfringe,:sunglasses: :hamster: :cherries:,254,,ta,tak,2,october-together-fringe,syste,,Systempak,TAKE,system,,105_MM,,[packaging_takeaway_container_circle_670_ml_105_mm_diameter_100_mm_height_tamper_evident_systempak_254](https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/packaging_takeaway_container_circle_670_ml_105_mm_diameter_100_mm_height_tamper_evident_systempak_254/working)<br><br>,take,s,pack,T,670,6,2,,P,254,670,105 mm Diameter 100 mm Height Tamper Evident,670 Ml 105 mm Diameter 100 mm Height Tamper Evident Systempak 254,TAKEA,,670ML,,syste,p,sys,SYST,105_M,Systempak,105k,,T,,,s,,0b35c,,system,Takeaway Container Circle 670 Ml 105 mm Diameter 100 mm Height Tamper Evident Systempak 254,packaging_takeaway_container_circle_670_ml_105_mm_diameter_100_mm_height_tamper_evident_systempak_254,october together fringe must transfer again cash around village civil online absent,6,SYSTEM,1,SYSTEMPAK,0B35CA67A0,0B35CA,TA,S,,[],octobertogetherfringemusttransferagaincasharoundvillagecivilonlineabsent,,"october
together
fringe","[':sunglasses:', ':hamster:', ':cherries:']",PA,67,,,takea,,105_m,oomp_packaging_takeaway_container_circle_670_ml_105_mm_diameter_100_mm_height_tamper_evident_systempak_254,tak,670m,670_,,TAKEAW,105_,105mmdiameter100mmheighttamperevidentsystempak254,fqve,10,25,,105_,67,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/packaging_takeaway_container_circle_670_ml_105_mm_diameter_100_mm_height_tamper_evident_systempak_254,670,TAKE,,october_together_fringe,sys,105_mm_diameter_100_mm_height_tamper_evident_systempak_254,105,254,pa,10,254,670_ml,670ml,pac,october-together-fringe-must-transfer-again-cash-around-village-civil-online-absent,105K,316,pa,0b35ca,Takeaway Container Circle,670_ml_105_mm_diameter_100_mm_height_tamper_evident_systempak_254,670M,67,packag,670_ML,Packaging,SYS,254,,105mmdiameter100mmheighttamperevidentsystempak254,packa,SYSTE,p,"['sunglasses', 'hamster', 'cherries']",105 Mm Diameter 100 Mm Height Tamper Evident Systempak 254,254,SYST,0b35ca67a0,,2,,FQVE,,,p,packaging,PAC,10,pac,105 mm Diameter 100 mm Height Tamper Evident Systempak 254,254,october<br>together,TCC670,105MM,P,SY,254,,P,Packaging Takeaway Container Circle 670 Ml 105 mm Diameter 100 mm Height Tamper Evident Systempak 254,SYS,2,6,s,[],254,TAKEAW,octobertogether,PACK,254,105_mm,takeaw,,S,254,PACKAGING,,SYSTEM,670,,670_,TAKEAWAY_CONTAINER_CIRCLE,PA,105m,,october together,67,october together fringe,PACKA
project_github_oomlout_oomlout_oobb_packaging_takeaway_containe_base_8_width_7_height_15_mm_depth,,github,B,O,OO,o,base8w,b,BASE,,,G,base8,,BA,eye_twin,OOMLO,oomlou,O,gi,eye_twin_giggle_label_bridge_silly_elder_material_enhance_drip_beyond_area,,OO,,,,,eye<br>twin<br>giggle<br>label<br>bridge<br>silly<br>elder<br>material<br>enhance<br>drip<br>beyond<br>area,,eye-twin,oomlo,githu,"eye
twin
giggle
label
bridge
silly
elder
material
enhance
drip
beyond
area",OOMLO,GIT,eye<br>twin<br>giggle,,,BASE8W,PROJEC,,GIT,GI,,oomlou,parts/project_github_oomlout_oomlout_oobb_packaging_takeaway_containe_base_8_width_7_height_15_mm_depth,BAS,,OOMLOU,,,,oomlou,b42b90ca5488e8eb228de7c2c3fada89,projec,oom,base_8_width_7_height_15_mm_depth,B,,Oomlout,,"{'filter': '', 'height': 7, 'modes': ['3dpr'], 'navigation': True, 'oomp_classification': 'project', 'oomp_color': 'oomlout_oobb_packaging_takeaway_containe', 'oomp_description_extra': '', 'oomp_description_main': 'base_8_width_7_height_15_mm_depth', 'oomp_manufacturer': '', 'oomp_mode': 'project', 'oomp_part_number': '', 'oomp_run': True, 'oomp_size': 'oomlout', 'oomp_type': 'github', 'overwrite': True, 'thickness': 15, 'typ': 'all', 'type': 'oomlout_oobb_packaging_takeaway_containe_base', 'width': 8}",,oo,,g,proje,,,g,Github,,oo,OOMLOU,bas,,,github_oomlout_oomlout_oobb_packaging_takeaway_containe_base_8_width_7_height_15_mm_depth,,,,,GITHU,PROJE,gith,PRO,coffee cloud scissors,,oomlou,,o,oomlo,,,PROJ,proj,bas,"eye
twin",PROJEC,,,,B42B9,,,github,,,eyetwingiggle,:coffee: :cloud: :scissors:,,,gi,git,,eye-twin-giggle,,,,GITH,,OOMLO,BASE_8,,,gith,,proj,G,OOM,,,,,,OOM,Base 8 Width 7 Height 15 mm Depth,Oomlout Oomlout Oobb Packaging Takeaway Containe Base 8 Width 7 Height 15 mm Depth,GITHU,oomlo,OOMLOU,,,p,,,BASE_,,,,,ooml,OOM,,,b42b9,,,Github Oomlout Oomlout Oobb Packaging Takeaway Containe Base 8 Width 7 Height 15 mm Depth,project_github_oomlout_oomlout_oobb_packaging_takeaway_containe_base_8_width_7_height_15_mm_depth,eye twin giggle label bridge silly elder material enhance drip beyond area,O,,b,,B42B90CA54,B42B90,GI,,OOMLO,,eyetwingigglelabelbridgesillyeldermaterialenhancedripbeyondarea,Oomlout Oobb Packaging Takeaway Containe,"eye
twin
giggle","[':coffee:', ':cloud:', ':scissors:']",PR,,"[0, 0, 0]",oobb_part_oomlout_oobb_packaging_takeaway_containe_base_8_width_7_height_15_mm_depth,githu,ooml,base_,oomp_project_github_oomlout_oomlout_oobb_packaging_takeaway_containe_base_8_width_7_height_15_mm_depth,git,ooml,ooml,oomlout_oobb_packaging_takeaway_containe,GITHUB,base,Oobb Packaging Takeaway Containe Base 8 Width 7 Height 15 mm Depth,712ts,ba,,,BASE,oo,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/project_github_oomlout_oomlout_oobb_packaging_takeaway_containe_base_8_width_7_height_15_mm_depth,oom,GITH,OOML,eye_twin_giggle,,oobb_packaging_takeaway_containe_base_8_width_7_height_15_mm_depth,BAS,,pr,ba,,oomlout,oomlo,pro,eye-twin-giggle-label-bridge-silly-elder-material-enhance-drip-beyond-area,,,pr,b42b90,,oomlout_oomlout_oobb_packaging_takeaway_containe_base_8_width_7_height_15_mm_depth,OOML,OO,projec,,Project,,,"[0, 0, 0]",oobb_packaging_takeaway_containe_base_8_width_7_height_15_mm_depth,proje,,,"['coffee', 'cloud', 'scissors']",,,,b42b90ca54,oom,,oom,712TS,O,OOMLOU,p,project,PRO,BA,pro,Oobb Packaging Takeaway Containe Base 8 Width 7 Height 15 mm Depth,,eye<br>twin,,BASE8,P,,,o,P,Project Github Oomlout Oomlout Oobb Packaging Takeaway Containe Base 8 Width 7 Height 15 mm Depth,,,o,,,,GITHUB,eyetwin,PROJ,,base_8,github,OOML,,,,OO,,,C:\gh\oomlout_oobb_packaging_takeaway_container_circle_670_ml_systempak_254,OOML,,PR,base,OOM,eye twin,oo,eye twin giggle,PROJE
